t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260265.092462791,39,njw4vlv84vzd,Bobbi,3,h2lldu,72,38232,2,0,0,100,True,4
260265.100203158,39,njw4vlv84vzd,Bobbi,3,h2lldu,17,56584,2,0,0,100,True,3
260265.108685511,39,njw4vlv84vzd,Bobbi,3,h2lldu,52,3743,2,0,0,100,True,2
260265.116558724,39,njw4vlv84vzd,Bobbi,3,h2lldu,48,27527,2,0,0,100,True,1
260265.127614687,39,njw4vlv84vzd,Bobbi,3,h2lldu,84,26474,2,0,0,100,True,0
260277.979558618,39,njw4vlv84vzd,Bobbi,4,h2lldu,35,52691,2,0,0,100,True,1
260277.999650609,39,njw4vlv84vzd,Bobbi,4,h2lldu,90,5249,2,0,0,100,True,0
260281.993204846,39,njw4vlv84vzd,Bobbi,5,h2lldu,1,38543,2,0,0,100,True,4
260282.001077573,39,njw4vlv84vzd,Bobbi,5,h2lldu,54,27579,2,0,0,100,True,3
260282.008868391,39,njw4vlv84vzd,Bobbi,5,h2lldu,79,26388,2,0,0,100,True,2
260282.017507648,39,njw4vlv84vzd,Bobbi,5,h2lldu,39,50158,2,0,0,100,True,1
260282.026253199,39,njw4vlv84vzd,Bobbi,5,h2lldu,50,33115,2,0,0,100,True,0
260284.63360611,39,njw4vlv84vzd,Bobbi,5,h2lldu,33,13527,2,0,0,100,True,5
260284.641812433,39,njw4vlv84vzd,Bobbi,5,h2lldu,69,43560,2,0,0,100,True,4
260284.667715433,39,njw4vlv84vzd,Bobbi,5,h2lldu,61,28073,2,0,0,100,True,3
260284.684382738,39,njw4vlv84vzd,Bobbi,5,h2lldu,89,41433,2,0,0,100,True,2
260284.713173773,39,njw4vlv84vzd,Bobbi,5,h2lldu,43,56874,2,0,0,100,True,1
260284.720913948,39,njw4vlv84vzd,Bobbi,5,h2lldu,25,11254,2,0,0,100,True,0
260291.988836858,39,njw4vlv84vzd,Bobbi,5,h2lldu,85,57187,2,0,0,100,True,0
260321.074121505,39,njw4vlv84vzd,Bobbi,8,h2lldu,63,36050,1,0,0,612,True,0
260326.847315653,39,njw4vlv84vzd,Bobbi,8,h2lldu,28,32986,1,0,0,612,True,0
260334.70741676,39,njw4vlv84vzd,Bobbi,9,h2lldu,96,30777,1,0,0,612,True,0
260352.174295038,39,njw4vlv84vzd,Bobbi,11,h2lldu,8,41061,1,0,0,612,True,0
260354.648247865,39,njw4vlv84vzd,Bobbi,11,h2lldu,60,51139,1,0,0,612,True,0
260360.448883324,39,njw4vlv84vzd,Bobbi,11,h2lldu,29,56622,1,0,0,612,True,0
