t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260359.686541867,39,q79nr9m0gipm,Randolph,12,3eqg9i,48,47174,1,0,612,0,True,0
260359.693508417,39,q79nr9m0gipm,Randolph,12,3eqg9i,48,47174,2,100,0,0,True,0
260380.742546383,39,q79nr9m0gipm,Randolph,14,3eqg9i,74,46926,1,0,612,0,True,1
260380.749833328,39,q79nr9m0gipm,Randolph,14,3eqg9i,74,46926,2,100,0,0,True,1
260380.756947102,39,q79nr9m0gipm,Randolph,14,3eqg9i,91,63883,1,0,612,0,True,0
260380.764253394,39,q79nr9m0gipm,Randolph,14,3eqg9i,91,63883,2,100,0,0,True,0
260394.417951291,39,q79nr9m0gipm,Randolph,15,3eqg9i,18,1229,1,0,612,0,True,0
260394.425438741,39,q79nr9m0gipm,Randolph,15,3eqg9i,18,1229,2,100,0,0,True,0
260477.262675695,39,q79nr9m0gipm,Randolph,23,3eqg9i,36,36250,1,0,612,0,True,0
260477.270163443,39,q79nr9m0gipm,Randolph,23,3eqg9i,36,36250,2,100,0,0,True,0
