t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.335431151,39,sf9azpdng030,Betty,1,h2lldu,52,3743,1,0,0,612,True,1
260224.342739478,39,sf9azpdng030,Betty,1,h2lldu,17,56584,1,0,0,612,True,0
260225.237689292,39,sf9azpdng030,Betty,1,h2lldu,11,35860,1,0,0,612,True,0
260226.034350286,39,sf9azpdng030,Betty,1,h2lldu,1,38543,1,0,0,612,True,3
260226.041825931,39,sf9azpdng030,Betty,1,h2lldu,57,45413,1,0,0,612,True,2
260226.049372263,39,sf9azpdng030,Betty,1,h2lldu,43,56874,1,0,0,612,True,1
260226.058030601,39,sf9azpdng030,Betty,1,h2lldu,44,13099,1,0,0,612,True,0
260226.579618211,39,sf9azpdng030,Betty,1,h2lldu,56,64743,1,0,0,612,True,0
260227.388681143,39,sf9azpdng030,Betty,1,h2lldu,50,33115,1,0,0,612,True,0
260228.148633291,39,sf9azpdng030,Betty,1,h2lldu,51,63351,1,0,0,612,True,1
260228.163673923,39,sf9azpdng030,Betty,1,h2lldu,61,28073,1,0,0,612,True,0
260237.302232537,39,sf9azpdng030,Betty,2,3p2278,4,24233,1,0,0,612,True,0
260240.121149988,39,sf9azpdng030,Betty,2,3p2278,74,11727,1,0,0,612,True,0
260242.160948924,39,sf9azpdng030,Betty,2,3p2278,18,33679,1,0,0,612,True,0
260254.983822823,39,sf9azpdng030,Betty,4,3p2278,43,28086,1,0,0,612,True,7
260254.993330673,39,sf9azpdng030,Betty,4,3p2278,50,2819,1,0,0,612,True,6
260255.001380789,39,sf9azpdng030,Betty,4,3p2278,57,3983,1,0,0,612,True,5
260255.010518625,39,sf9azpdng030,Betty,4,3p2278,70,1007,1,0,0,612,True,4
260255.018063957,39,sf9azpdng030,Betty,4,3p2278,42,36791,1,0,0,612,True,3
260255.026997079,39,sf9azpdng030,Betty,4,3p2278,46,22931,1,0,0,612,True,2
260255.034607324,39,sf9azpdng030,Betty,4,3p2278,9,40016,1,0,0,612,True,1
260255.043616798,39,sf9azpdng030,Betty,4,3p2278,11,36984,1,0,0,612,True,0
260265.775264208,39,sf9azpdng030,Betty,4,3p2278,18,33679,2,0,0,100,True,3
260265.783080866,39,sf9azpdng030,Betty,4,3p2278,62,26090,2,0,0,100,True,2
260265.795286176,39,sf9azpdng030,Betty,4,3p2278,39,48519,2,0,0,100,True,1
