t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260230.938255014,39,sfskmfltntrk,Patty,1,mihj8m,4,63950,1,0,0,612,True,0
260231.467214005,39,sfskmfltntrk,Patty,1,mihj8m,14,47213,1,0,0,612,True,2
260231.47432112,39,sfskmfltntrk,Patty,1,mihj8m,98,19905,1,0,0,612,True,1
260231.482563448,39,sfskmfltntrk,Patty,1,mihj8m,21,64375,1,0,0,612,True,0
260232.480375891,39,sfskmfltntrk,Patty,1,mihj8m,66,34533,1,0,0,612,True,1
260232.487870083,39,sfskmfltntrk,Patty,1,mihj8m,13,55113,1,0,0,612,True,0
260234.658710756,39,sfskmfltntrk,Patty,2,mihj8m,38,44861,1,0,0,612,True,0
260251.423391232,39,sfskmfltntrk,Patty,3,mihj8m,12,55884,1,0,0,612,True,0
260255.122104936,39,sfskmfltntrk,Patty,3,mihj8m,52,31470,1,0,0,612,True,0
260262.306958804,39,sfskmfltntrk,Patty,4,mihj8m,70,39162,1,0,0,612,True,3
260262.31509842,39,sfskmfltntrk,Patty,4,mihj8m,63,32276,1,0,0,612,True,2
260262.335486285,39,sfskmfltntrk,Patty,4,mihj8m,84,60734,1,0,0,612,True,1
260262.355418006,39,sfskmfltntrk,Patty,4,mihj8m,83,42638,1,0,0,612,True,0
260267.183055362,39,sfskmfltntrk,Patty,4,mihj8m,36,17356,1,0,0,612,True,1
260267.225495586,39,sfskmfltntrk,Patty,4,mihj8m,89,56185,1,0,0,612,True,0
260275.980472233,39,sfskmfltntrk,Patty,5,mihj8m,50,24756,2,0,0,100,True,1
260275.988494174,39,sfskmfltntrk,Patty,5,mihj8m,97,47017,2,0,0,100,True,0
260280.842902965,39,sfskmfltntrk,Patty,5,mihj8m,13,55113,2,0,0,100,True,1
260280.855282085,39,sfskmfltntrk,Patty,5,mihj8m,58,52368,2,0,0,100,True,0
260283.836289212,39,sfskmfltntrk,Patty,6,mihj8m,25,12739,2,0,0,100,True,2
