t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260300.97394785,39,ugc0689buy9b,Maurita,7,h2lldu,31,32672,2,0,100,0,True,0
260302.336539,39,ugc0689buy9b,Maurita,7,h2lldu,58,10501,2,0,100,0,True,2
260302.344662592,39,ugc0689buy9b,Maurita,7,h2lldu,90,5249,2,0,100,0,True,1
260302.352083785,39,ugc0689buy9b,Maurita,7,h2lldu,46,55452,2,0,100,0,True,0
260319.027730961,39,ugc0689buy9b,Maurita,9,h2lldu,57,45413,2,0,100,0,True,2
260319.03569141,39,ugc0689buy9b,Maurita,9,h2lldu,56,64743,2,0,100,0,True,1
260319.04380911,39,ugc0689buy9b,Maurita,9,h2lldu,10,36011,2,0,100,0,True,0
260416.827464792,39,ugc0689buy9b,Maurita,17,h2lldu,98,43885,2,0,100,0,True,0
260457.266633692,39,ugc0689buy9b,Maurita,21,h2lldu,49,18488,2,0,100,0,True,5
260457.274490868,39,ugc0689buy9b,Maurita,21,h2lldu,47,42474,2,0,100,0,True,4
260457.29655538,39,ugc0689buy9b,Maurita,21,h2lldu,66,35808,2,0,100,0,True,3
260457.308041182,39,ugc0689buy9b,Maurita,21,h2lldu,4,37227,2,0,100,0,True,2
260457.325962646,39,ugc0689buy9b,Maurita,21,h2lldu,14,8298,2,0,100,0,True,1
260457.334160643,39,ugc0689buy9b,Maurita,21,h2lldu,74,53370,2,0,100,0,True,0
260463.087361688,39,ugc0689buy9b,Maurita,21,h2lldu,30,6954,2,0,100,0,True,0
260467.637160099,39,ugc0689buy9b,Maurita,22,h2lldu,24,31192,2,0,100,0,True,0
260473.283529451,39,ugc0689buy9b,Maurita,22,h2lldu,15,45831,2,0,100,0,True,0
260475.314554193,39,ugc0689buy9b,Maurita,23,h2lldu,32,37706,2,0,100,0,True,1
260475.324119709,39,ugc0689buy9b,Maurita,23,h2lldu,80,45826,2,0,100,0,True,0
260488.563001172,39,ugc0689buy9b,Maurita,24,h2lldu,14,14689,2,0,100,0,True,1
260488.570238217,39,ugc0689buy9b,Maurita,24,h2lldu,3,40548,2,0,100,0,True,0
260489.581329427,39,ugc0689buy9b,Maurita,24,h2lldu,83,50249,2,0,100,0,True,0
260491.197633251,39,ugc0689buy9b,Maurita,24,h2lldu,94,15580,2,0,100,0,True,0
260491.371412399,39,ugc0689buy9b,Maurita,24,h2lldu,24,33410,2,0,100,0,True,1
260491.37909627,39,ugc0689buy9b,Maurita,24,h2lldu,38,50142,2,0,100,0,True,0
260492.941597682,39,ugc0689buy9b,Maurita,24,h2lldu,26,35571,2,0,100,0,True,1
260492.949271305,39,ugc0689buy9b,Maurita,24,h2lldu,9,59654,2,0,100,0,True,0
