t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260269.491470041,39,x22xoi3d57j5,Nadia,4,q84cv2,24,33085,1,0,0,612,True,3
260269.498210514,39,x22xoi3d57j5,Nadia,4,q84cv2,92,34572,1,0,0,612,True,2
260269.505635134,39,x22xoi3d57j5,Nadia,4,q84cv2,16,53927,1,0,0,612,True,1
260269.513301387,39,x22xoi3d57j5,Nadia,4,q84cv2,50,23678,1,0,0,612,True,0
260277.402807168,39,x22xoi3d57j5,Nadia,4,q84cv2,94,28403,1,0,0,612,True,2
260277.411691827,39,x22xoi3d57j5,Nadia,4,q84cv2,5,19389,1,0,0,612,True,1
260277.419856577,39,x22xoi3d57j5,Nadia,4,q84cv2,0,47007,1,0,0,612,True,0
260281.567376416,39,x22xoi3d57j5,Nadia,5,q84cv2,95,42845,1,0,0,612,True,2
260281.588033699,39,x22xoi3d57j5,Nadia,5,q84cv2,75,47825,1,0,0,612,True,1
260281.604532955,39,x22xoi3d57j5,Nadia,5,q84cv2,66,39256,1,0,0,612,True,0
260290.156806339,39,x22xoi3d57j5,Nadia,5,q84cv2,9,51043,1,0,0,612,True,0
260302.06982685,39,x22xoi3d57j5,Nadia,6,q84cv2,78,44499,2,0,0,100,True,1
260302.077186347,39,x22xoi3d57j5,Nadia,6,q84cv2,91,34817,2,0,0,100,True,0
260304.692738045,39,x22xoi3d57j5,Nadia,6,q84cv2,64,47632,2,0,0,100,True,11
260304.700772747,39,x22xoi3d57j5,Nadia,6,q84cv2,94,28403,2,0,0,100,True,10
260304.708375583,39,x22xoi3d57j5,Nadia,6,q84cv2,75,47825,2,0,0,100,True,9
260304.716528604,39,x22xoi3d57j5,Nadia,6,q84cv2,56,4915,2,0,0,100,True,8
260304.72425479,39,x22xoi3d57j5,Nadia,6,q84cv2,14,42689,1,0,0,612,True,7
260304.733450495,39,x22xoi3d57j5,Nadia,6,q84cv2,6,40299,1,0,0,612,True,6
260304.744381833,39,x22xoi3d57j5,Nadia,6,q84cv2,67,15464,1,0,0,612,True,5
260304.752350109,39,x22xoi3d57j5,Nadia,6,q84cv2,47,51726,1,0,0,612,True,4
260304.760804257,39,x22xoi3d57j5,Nadia,6,q84cv2,26,40770,1,0,0,612,True,3
260304.768870096,39,x22xoi3d57j5,Nadia,6,q84cv2,77,37186,1,0,0,612,True,2
260304.77653015,39,x22xoi3d57j5,Nadia,6,q84cv2,29,57102,1,0,0,612,True,1
260304.784399559,39,x22xoi3d57j5,Nadia,6,q84cv2,62,10014,1,0,0,612,True,0
260309.689980446,39,x22xoi3d57j5,Nadia,7,q84cv2,60,52800,1,0,0,612,True,1
260309.697582423,39,x22xoi3d57j5,Nadia,7,q84cv2,97,38278,1,0,0,612,True,0
260313.67757667,39,x22xoi3d57j5,Nadia,7,q84cv2,61,35837,1,0,0,612,True,0
260326.186859433,39,x22xoi3d57j5,Nadia,8,q84cv2,68,5418,1,0,0,612,True,4
260326.194446136,39,x22xoi3d57j5,Nadia,8,q84cv2,11,3382,1,0,0,612,True,3
260326.201957947,39,x22xoi3d57j5,Nadia,8,q84cv2,73,26778,1,0,0,612,True,2
260326.209596109,39,x22xoi3d57j5,Nadia,8,q84cv2,19,36400,1,0,0,612,True,1
260326.22063203,39,x22xoi3d57j5,Nadia,8,q84cv2,0,64421,1,0,0,612,True,0
260328.670210992,39,x22xoi3d57j5,Nadia,9,q84cv2,14,42689,2,0,0,100,True,6
260328.678121362,39,x22xoi3d57j5,Nadia,9,q84cv2,51,27507,2,0,0,100,True,5
260328.685762276,39,x22xoi3d57j5,Nadia,9,q84cv2,26,40770,2,0,0,100,True,4
260328.69342122,39,x22xoi3d57j5,Nadia,9,q84cv2,83,60529,2,0,0,100,True,3
260328.700958075,39,x22xoi3d57j5,Nadia,9,q84cv2,44,30337,2,0,0,100,True,2
260328.713074171,39,x22xoi3d57j5,Nadia,9,q84cv2,3,9500,2,0,0,100,True,1
260328.722498986,39,x22xoi3d57j5,Nadia,9,q84cv2,30,36025,2,0,0,100,True,0
260331.228406231,39,x22xoi3d57j5,Nadia,9,q84cv2,6,40299,2,0,0,100,True,4
260331.250746225,39,x22xoi3d57j5,Nadia,9,q84cv2,29,57102,2,0,0,100,True,3
260331.265730487,39,x22xoi3d57j5,Nadia,9,q84cv2,62,10014,2,0,0,100,True,2
260331.275999693,39,x22xoi3d57j5,Nadia,9,q84cv2,79,60531,2,0,0,100,True,1
260331.283843707,39,x22xoi3d57j5,Nadia,9,q84cv2,82,9386,2,0,0,100,True,0
260334.467823471,39,x22xoi3d57j5,Nadia,9,q84cv2,49,24158,1,0,0,612,True,2
260334.47585286,39,x22xoi3d57j5,Nadia,9,q84cv2,84,23073,1,0,0,612,True,1
260334.48390839,39,x22xoi3d57j5,Nadia,9,q84cv2,57,33112,1,0,0,612,True,0
260337.986562494,39,x22xoi3d57j5,Nadia,9,q84cv2,95,62570,1,0,0,612,True,2
260337.994206473,39,x22xoi3d57j5,Nadia,9,q84cv2,94,20289,1,0,0,612,True,1
260338.001822841,39,x22xoi3d57j5,Nadia,9,q84cv2,45,45811,1,0,0,612,True,0
260342.941503885,39,x22xoi3d57j5,Nadia,10,q84cv2,88,30962,2,0,0,100,True,4
260342.948556937,39,x22xoi3d57j5,Nadia,10,q84cv2,97,38278,2,0,0,100,True,3
260342.95585641,39,x22xoi3d57j5,Nadia,10,q84cv2,61,35837,2,0,0,100,True,2
260342.9632592,39,x22xoi3d57j5,Nadia,10,q84cv2,65,13828,2,0,0,100,True,1
260342.970827185,39,x22xoi3d57j5,Nadia,10,q84cv2,46,14295,1,0,0,612,True,0
260344.806199839,39,x22xoi3d57j5,Nadia,10,q84cv2,19,36400,2,0,0,100,True,1
260344.813470444,39,x22xoi3d57j5,Nadia,10,q84cv2,0,64421,2,0,0,100,True,0
260346.275778765,39,x22xoi3d57j5,Nadia,10,q84cv2,91,48910,1,0,0,612,True,1
260346.283469326,39,x22xoi3d57j5,Nadia,10,q84cv2,42,22700,1,0,0,612,True,0
260349.171919135,39,x22xoi3d57j5,Nadia,10,q84cv2,48,40405,1,0,0,612,True,2
260349.179622838,39,x22xoi3d57j5,Nadia,10,q84cv2,96,20277,1,0,0,612,True,1
260349.192338832,39,x22xoi3d57j5,Nadia,10,q84cv2,39,29411,1,0,0,612,True,0
260354.572734958,39,x22xoi3d57j5,Nadia,11,q84cv2,38,51124,1,0,0,612,True,0
260357.078314174,39,x22xoi3d57j5,Nadia,11,q84cv2,45,45811,2,0,0,100,True,1
260357.085722163,39,x22xoi3d57j5,Nadia,11,q84cv2,90,11904,2,0,0,100,True,0
260360.237656287,39,x22xoi3d57j5,Nadia,11,q84cv2,87,59670,1,0,0,612,True,4
260360.246543546,39,x22xoi3d57j5,Nadia,11,q84cv2,91,48910,2,0,0,100,True,3
260360.25480696,39,x22xoi3d57j5,Nadia,11,q84cv2,92,51689,1,0,0,612,True,2
260360.263033216,39,x22xoi3d57j5,Nadia,11,q84cv2,43,25809,1,0,0,612,True,1
260360.270554641,39,x22xoi3d57j5,Nadia,11,q84cv2,37,1704,1,0,0,612,True,0
260362.216069826,39,x22xoi3d57j5,Nadia,12,q84cv2,35,11391,1,0,0,612,True,0
260366.729852419,39,x22xoi3d57j5,Nadia,12,q84cv2,39,29411,2,0,0,100,True,0
260370.588447574,39,x22xoi3d57j5,Nadia,12,q84cv2,40,24663,1,0,0,612,True,1
260370.600349831,39,x22xoi3d57j5,Nadia,12,q84cv2,80,13470,1,0,0,612,True,0
260373.413796298,39,x22xoi3d57j5,Nadia,13,q84cv2,75,13398,1,0,0,612,True,0
260375.133028425,39,x22xoi3d57j5,Nadia,13,q84cv2,20,40447,2,0,0,100,True,0
260375.953408622,39,x22xoi3d57j5,Nadia,13,q84cv2,92,51689,2,0,0,100,True,9
260375.961760505,39,x22xoi3d57j5,Nadia,13,q84cv2,43,25809,2,0,0,100,True,8
260375.969211103,39,x22xoi3d57j5,Nadia,13,q84cv2,89,43651,2,0,0,100,True,7
260375.976635883,39,x22xoi3d57j5,Nadia,13,q84cv2,85,62530,2,0,0,100,True,6
260375.984085816,39,x22xoi3d57j5,Nadia,13,q84cv2,37,1704,2,0,0,100,True,5
260375.991533475,39,x22xoi3d57j5,Nadia,13,q84cv2,36,51940,2,0,0,100,True,4
260375.998927579,39,x22xoi3d57j5,Nadia,13,q84cv2,84,9820,2,0,0,100,True,3
260376.006360112,39,x22xoi3d57j5,Nadia,13,q84cv2,87,59670,2,0,0,100,True,2
260376.01880637,39,x22xoi3d57j5,Nadia,13,q84cv2,88,50718,2,0,0,100,True,1
260376.026804024,39,x22xoi3d57j5,Nadia,13,q84cv2,35,11391,2,0,0,100,True,0
260381.394799629,39,x22xoi3d57j5,Nadia,13,q84cv2,28,56757,1,0,0,612,True,5
260381.40330126,39,x22xoi3d57j5,Nadia,13,q84cv2,27,42863,1,0,0,612,True,4
260381.410526974,39,x22xoi3d57j5,Nadia,13,q84cv2,73,15350,1,0,0,612,True,3
260381.417712931,39,x22xoi3d57j5,Nadia,13,q84cv2,69,25524,1,0,0,612,True,2
260381.425362983,39,x22xoi3d57j5,Nadia,13,q84cv2,86,35719,2,0,0,100,True,1
260381.434606027,39,x22xoi3d57j5,Nadia,13,q84cv2,70,27512,1,0,0,612,True,0
260383.320777607,39,x22xoi3d57j5,Nadia,13,q84cv2,71,60960,1,0,0,612,True,0
260386.221237187,39,x22xoi3d57j5,Nadia,14,q84cv2,97,44341,2,0,0,100,True,6
260386.229386758,39,x22xoi3d57j5,Nadia,14,q84cv2,31,21623,2,0,0,100,True,5
260386.238110409,39,x22xoi3d57j5,Nadia,14,q84cv2,40,24663,2,0,0,100,True,4
260386.247335644,39,x22xoi3d57j5,Nadia,14,q84cv2,80,13470,2,0,0,100,True,3
260386.259307436,39,x22xoi3d57j5,Nadia,14,q84cv2,81,58932,2,0,0,100,True,2
260386.270857211,39,x22xoi3d57j5,Nadia,14,q84cv2,30,16559,2,0,0,100,True,1
260386.280427104,39,x22xoi3d57j5,Nadia,14,q84cv2,75,13398,2,0,0,100,True,0
260392.805350298,39,x22xoi3d57j5,Nadia,14,q84cv2,68,20469,1,0,0,612,True,0
260404.631627996,39,x22xoi3d57j5,Nadia,15,q84cv2,63,12588,1,0,0,612,True,1
260404.639441015,39,x22xoi3d57j5,Nadia,15,q84cv2,52,22694,1,0,0,612,True,0
260408.367073599,39,x22xoi3d57j5,Nadia,16,q84cv2,54,50765,2,0,0,100,True,3
260408.374364023,39,x22xoi3d57j5,Nadia,16,q84cv2,79,36570,2,0,0,100,True,2
260408.381937983,39,x22xoi3d57j5,Nadia,16,q84cv2,68,20469,2,0,0,100,True,1
260408.389650115,39,x22xoi3d57j5,Nadia,16,q84cv2,83,60079,2,0,0,100,True,0
260409.845926381,39,x22xoi3d57j5,Nadia,16,q84cv2,72,35849,2,0,0,100,True,0
260412.441228959,39,x22xoi3d57j5,Nadia,16,q84cv2,18,18403,1,0,0,612,True,2
260412.44901737,39,x22xoi3d57j5,Nadia,16,q84cv2,58,31100,1,0,0,612,True,1
260412.456827904,39,x22xoi3d57j5,Nadia,16,q84cv2,13,25891,1,0,0,612,True,0
260414.530039619,39,x22xoi3d57j5,Nadia,16,q84cv2,55,37999,1,0,0,612,True,4
260414.538000953,39,x22xoi3d57j5,Nadia,16,q84cv2,53,16959,1,0,0,612,True,3
