t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260244.477488003,39,x40h0wxau9rc,Elinor,2,mihj8m,86,61081,1,0,612,0,True,0
260244.484256247,39,x40h0wxau9rc,Elinor,2,mihj8m,86,61081,2,100,0,0,True,0
260247.849234632,39,x40h0wxau9rc,Elinor,2,mihj8m,21,64375,1,0,612,0,True,1
260247.857065484,39,x40h0wxau9rc,Elinor,2,mihj8m,21,64375,2,100,0,0,True,1
260247.864691856,39,x40h0wxau9rc,Elinor,2,mihj8m,31,63777,1,0,612,0,True,0
260247.874039573,39,x40h0wxau9rc,Elinor,2,mihj8m,31,63777,2,100,0,0,True,0
260253.301236918,39,x40h0wxau9rc,Elinor,3,mihj8m,15,9711,1,0,612,0,True,2
260253.310022379,39,x40h0wxau9rc,Elinor,3,mihj8m,15,9711,2,100,0,0,True,2
260253.320373623,39,x40h0wxau9rc,Elinor,3,mihj8m,62,61343,1,0,612,0,True,1
260253.330730033,39,x40h0wxau9rc,Elinor,3,mihj8m,62,61343,2,100,0,0,True,1
260253.339564734,39,x40h0wxau9rc,Elinor,3,mihj8m,30,39350,1,0,612,0,True,0
260253.356954177,39,x40h0wxau9rc,Elinor,3,mihj8m,30,39350,2,100,0,0,True,0
260290.62846006,39,x40h0wxau9rc,Elinor,6,mihj8m,52,31470,1,0,612,0,True,2
260290.637361573,39,x40h0wxau9rc,Elinor,6,mihj8m,52,31470,2,100,0,0,True,2
260290.645378082,39,x40h0wxau9rc,Elinor,6,mihj8m,28,58593,1,0,612,0,True,1
260290.655304243,39,x40h0wxau9rc,Elinor,6,mihj8m,28,58593,2,100,0,0,True,1
260290.663951029,39,x40h0wxau9rc,Elinor,6,mihj8m,53,65131,1,0,612,0,True,0
260290.671708294,39,x40h0wxau9rc,Elinor,6,mihj8m,53,65131,2,100,0,0,True,0
260297.539507261,39,x40h0wxau9rc,Elinor,6,mihj8m,63,32276,1,0,612,0,True,2
260297.549005663,39,x40h0wxau9rc,Elinor,6,mihj8m,63,32276,2,100,0,0,True,2
260297.556903253,39,x40h0wxau9rc,Elinor,6,mihj8m,81,64779,1,0,612,0,True,1
260297.564743534,39,x40h0wxau9rc,Elinor,6,mihj8m,81,64779,2,100,0,0,True,1
260297.572264787,39,x40h0wxau9rc,Elinor,6,mihj8m,9,20163,1,0,612,0,True,0
260297.580038685,39,x40h0wxau9rc,Elinor,6,mihj8m,9,20163,2,100,0,0,True,0
260320.70669684,39,x40h0wxau9rc,Elinor,8,mihj8m,73,30983,1,0,612,0,True,0
