t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260252.106068293,39,xl4h0t0ynaoo,Elinor,3,mihj8m,13,55113,1,0,612,0,True,3
260252.114067044,39,xl4h0t0ynaoo,Elinor,3,mihj8m,13,55113,2,100,0,0,True,3
260252.121642567,39,xl4h0t0ynaoo,Elinor,3,mihj8m,25,12739,1,0,612,0,True,2
260252.130493568,39,xl4h0t0ynaoo,Elinor,3,mihj8m,25,12739,2,100,0,0,True,2
260252.138018671,39,xl4h0t0ynaoo,Elinor,3,mihj8m,58,52368,1,0,612,0,True,1
260252.149498303,39,xl4h0t0ynaoo,Elinor,3,mihj8m,58,52368,2,100,0,0,True,1
260252.162052968,39,xl4h0t0ynaoo,Elinor,3,mihj8m,38,44861,1,0,612,0,True,0
260252.170775362,39,xl4h0t0ynaoo,Elinor,3,mihj8m,38,44861,2,100,0,0,True,0
260288.639170403,39,xl4h0t0ynaoo,Elinor,6,mihj8m,80,9112,1,0,612,0,True,1
260288.647136202,39,xl4h0t0ynaoo,Elinor,6,mihj8m,80,9112,2,100,0,0,True,1
260288.655544361,39,xl4h0t0ynaoo,Elinor,6,mihj8m,27,9016,1,0,612,0,True,0
260288.664810529,39,xl4h0t0ynaoo,Elinor,6,mihj8m,27,9016,2,100,0,0,True,0
260296.85908435,39,xl4h0t0ynaoo,Elinor,6,mihj8m,83,42638,1,0,612,0,True,1
260296.866845234,39,xl4h0t0ynaoo,Elinor,6,mihj8m,83,42638,2,100,0,0,True,1
260296.874489333,39,xl4h0t0ynaoo,Elinor,6,mihj8m,16,7926,1,0,612,0,True,0
260296.882110711,39,xl4h0t0ynaoo,Elinor,6,mihj8m,16,7926,2,100,0,0,True,0
260303.900931192,39,xl4h0t0ynaoo,Elinor,7,mihj8m,68,41808,1,0,612,0,True,0
260303.909200962,39,xl4h0t0ynaoo,Elinor,7,mihj8m,68,41808,2,100,0,0,True,0
260325.003013518,39,xl4h0t0ynaoo,Elinor,9,mihj8m,94,59099,1,0,612,0,True,3
260325.013201813,39,xl4h0t0ynaoo,Elinor,9,mihj8m,94,59099,2,100,0,0,True,3
260325.023910716,39,xl4h0t0ynaoo,Elinor,9,mihj8m,19,48793,1,0,612,0,True,2
260325.032072396,39,xl4h0t0ynaoo,Elinor,9,mihj8m,19,48793,2,100,0,0,True,2
260325.040088225,39,xl4h0t0ynaoo,Elinor,9,mihj8m,99,24758,1,0,612,0,True,1
260325.047929059,39,xl4h0t0ynaoo,Elinor,9,mihj8m,99,24758,2,100,0,0,True,1
260325.055700571,39,xl4h0t0ynaoo,Elinor,9,mihj8m,82,18615,1,0,612,0,True,0
260325.06351992,39,xl4h0t0ynaoo,Elinor,9,mihj8m,82,18615,2,100,0,0,True,0
260339.10880399,39,xl4h0t0ynaoo,Elinor,10,mihj8m,93,21574,1,0,612,0,True,0
260339.116424393,39,xl4h0t0ynaoo,Elinor,10,mihj8m,93,21574,2,100,0,0,True,0
260374.277125605,39,xl4h0t0ynaoo,Elinor,13,mihj8m,51,35421,1,0,612,0,True,0
260374.284866966,39,xl4h0t0ynaoo,Elinor,13,mihj8m,51,35421,2,100,0,0,True,0
260386.640577477,39,xl4h0t0ynaoo,Elinor,14,mihj8m,18,15988,1,0,612,0,True,1
260386.648256437,39,xl4h0t0ynaoo,Elinor,14,mihj8m,18,15988,2,100,0,0,True,1
260386.660313023,39,xl4h0t0ynaoo,Elinor,14,mihj8m,11,65361,1,0,612,0,True,0
260386.675195682,39,xl4h0t0ynaoo,Elinor,14,mihj8m,11,65361,2,100,0,0,True,0
260413.389751269,39,xl4h0t0ynaoo,Elinor,17,mihj8m,1,62666,1,0,612,0,True,1
260413.397109157,39,xl4h0t0ynaoo,Elinor,17,mihj8m,1,62666,2,100,0,0,True,1
260413.405155613,39,xl4h0t0ynaoo,Elinor,17,mihj8m,84,10710,1,0,612,0,True,0
260413.412861694,39,xl4h0t0ynaoo,Elinor,17,mihj8m,84,10710,2,100,0,0,True,0
260423.278029988,39,xl4h0t0ynaoo,Elinor,17,mihj8m,23,39848,1,0,612,0,True,1
260423.286622258,39,xl4h0t0ynaoo,Elinor,17,mihj8m,23,39848,2,100,0,0,True,1
260423.294181462,39,xl4h0t0ynaoo,Elinor,17,mihj8m,11,16001,1,0,612,0,True,0
260423.30191722,39,xl4h0t0ynaoo,Elinor,17,mihj8m,11,16001,2,100,0,0,True,0
260425.68975948,39,xl4h0t0ynaoo,Elinor,18,mihj8m,84,7879,1,0,612,0,True,2
260425.697693123,39,xl4h0t0ynaoo,Elinor,18,mihj8m,84,7879,2,100,0,0,True,2
260425.705322717,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,21683,1,0,612,0,True,1
260425.713073514,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,21683,2,100,0,0,True,1
260425.720761119,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,20829,1,0,612,0,True,0
260425.728428157,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,20829,2,100,0,0,True,0
260427.765111766,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,19003,1,0,612,0,True,1
260427.772793798,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,19003,2,100,0,0,True,1
260427.780287112,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,41095,1,0,612,0,True,0
260427.7877374,39,xl4h0t0ynaoo,Elinor,18,mihj8m,23,41095,2,100,0,0,True,0
260436.499709948,39,xl4h0t0ynaoo,Elinor,19,mihj8m,23,24114,1,0,612,0,True,1
260436.507502258,39,xl4h0t0ynaoo,Elinor,19,mihj8m,23,24114,2,100,0,0,True,1
260436.515157777,39,xl4h0t0ynaoo,Elinor,19,mihj8m,23,61432,1,0,612,0,True,0
260436.522815606,39,xl4h0t0ynaoo,Elinor,19,mihj8m,23,61432,2,100,0,0,True,0
260446.932179177,39,xl4h0t0ynaoo,Elinor,20,mihj8m,23,61068,1,0,612,0,True,0
260446.940297393,39,xl4h0t0ynaoo,Elinor,20,mihj8m,23,61068,2,100,0,0,True,0
260464.942512345,39,xl4h0t0ynaoo,Elinor,21,mihj8m,23,46354,1,0,612,0,True,1
