t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260240.871303094,39,y17ei155krfj,Delilah,2,mihj8m,15,9711,1,0,0,612,True,1
260240.878939447,39,y17ei155krfj,Delilah,2,mihj8m,0,36033,1,0,0,612,True,0
260241.817199021,39,y17ei155krfj,Delilah,2,mihj8m,38,44861,1,0,0,612,True,0
260253.628422652,39,y17ei155krfj,Delilah,3,mihj8m,79,18998,2,0,0,100,True,3
260253.636028047,39,y17ei155krfj,Delilah,3,mihj8m,86,61081,2,0,0,100,True,2
260253.644796973,39,y17ei155krfj,Delilah,3,mihj8m,4,63950,2,0,0,100,True,1
260253.652299227,39,y17ei155krfj,Delilah,3,mihj8m,67,14907,2,0,0,100,True,0
260259.021447514,39,y17ei155krfj,Delilah,4,mihj8m,98,19905,2,0,0,100,True,3
260259.04241198,39,y17ei155krfj,Delilah,4,mihj8m,21,64375,2,0,0,100,True,2
260259.052654017,39,y17ei155krfj,Delilah,4,mihj8m,14,47213,2,0,0,100,True,1
260259.062883461,39,y17ei155krfj,Delilah,4,mihj8m,34,3697,2,0,0,100,True,0
260264.079613834,39,y17ei155krfj,Delilah,4,mihj8m,38,44861,2,0,0,100,True,6
260264.08814708,39,y17ei155krfj,Delilah,4,mihj8m,69,23109,2,0,0,100,True,5
260264.096805627,39,y17ei155krfj,Delilah,4,mihj8m,20,32030,2,0,0,100,True,4
260264.104425808,39,y17ei155krfj,Delilah,4,mihj8m,29,10261,2,0,0,100,True,3
260264.112827966,39,y17ei155krfj,Delilah,4,mihj8m,54,8827,2,0,0,100,True,2
260264.125119029,39,y17ei155krfj,Delilah,4,mihj8m,66,34533,2,0,0,100,True,1
260264.141210231,39,y17ei155krfj,Delilah,4,mihj8m,57,57754,2,0,0,100,True,0
260269.995627867,39,y17ei155krfj,Delilah,4,mihj8m,24,51120,1,0,0,612,True,1
260270.004252776,39,y17ei155krfj,Delilah,4,mihj8m,80,9112,1,0,0,612,True,0
260277.547708986,39,y17ei155krfj,Delilah,5,mihj8m,48,54001,1,0,0,612,True,2
260277.55586226,39,y17ei155krfj,Delilah,5,mihj8m,16,7926,1,0,0,612,True,1
260277.565351331,39,y17ei155krfj,Delilah,5,mihj8m,63,32276,1,0,0,612,True,0
260281.779306878,39,y17ei155krfj,Delilah,5,mihj8m,81,64779,1,0,0,612,True,1
260281.788118183,39,y17ei155krfj,Delilah,5,mihj8m,9,20163,1,0,0,612,True,0
260291.045143841,39,y17ei155krfj,Delilah,6,mihj8m,68,41808,1,0,0,612,True,1
260291.06428072,39,y17ei155krfj,Delilah,6,mihj8m,88,7977,1,0,0,612,True,0
260297.685275457,39,y17ei155krfj,Delilah,7,mihj8m,10,50201,1,0,0,612,True,0
260302.359680242,39,y17ei155krfj,Delilah,7,mihj8m,80,9112,2,0,0,100,True,4
260302.366961596,39,y17ei155krfj,Delilah,7,mihj8m,27,9016,2,0,0,100,True,3
260302.374245562,39,y17ei155krfj,Delilah,7,mihj8m,28,58593,2,0,0,100,True,2
260302.381818013,39,y17ei155krfj,Delilah,7,mihj8m,53,65131,2,0,0,100,True,1
260302.389390649,39,y17ei155krfj,Delilah,7,mihj8m,37,43024,2,0,0,100,True,0
260305.063436647,39,y17ei155krfj,Delilah,7,mihj8m,16,7926,2,0,0,100,True,5
260305.071709818,39,y17ei155krfj,Delilah,7,mihj8m,63,32276,2,0,0,100,True,4
260305.079373095,39,y17ei155krfj,Delilah,7,mihj8m,51,64909,1,0,0,612,True,3
260305.087013981,39,y17ei155krfj,Delilah,7,mihj8m,47,10687,1,0,0,612,True,2
260305.094763864,39,y17ei155krfj,Delilah,7,mihj8m,99,24758,1,0,0,612,True,1
260305.102391271,39,y17ei155krfj,Delilah,7,mihj8m,82,18615,1,0,0,612,True,0
260309.864614775,39,y17ei155krfj,Delilah,8,mihj8m,49,18476,1,0,0,612,True,0
260314.803099837,39,y17ei155krfj,Delilah,8,mihj8m,65,13897,2,0,0,100,True,1
260314.810588813,39,y17ei155krfj,Delilah,8,mihj8m,88,7977,2,0,0,100,True,0
260316.529947563,39,y17ei155krfj,Delilah,8,mihj8m,95,18310,2,0,0,100,True,0
260320.856928913,39,y17ei155krfj,Delilah,8,mihj8m,8,51242,2,0,0,100,True,0
260326.561869829,39,y17ei155krfj,Delilah,9,mihj8m,26,11984,1,0,0,612,True,0
260331.560253147,39,y17ei155krfj,Delilah,9,mihj8m,47,10687,2,0,0,100,True,2
260331.567982085,39,y17ei155krfj,Delilah,9,mihj8m,19,48793,2,0,0,100,True,1
260331.57581897,39,y17ei155krfj,Delilah,9,mihj8m,82,18615,2,0,0,100,True,0
260334.580534866,39,y17ei155krfj,Delilah,10,mihj8m,39,64109,2,0,0,100,True,0
260343.103171086,39,y17ei155krfj,Delilah,10,mihj8m,60,65274,2,0,0,100,True,0
260344.911857248,39,y17ei155krfj,Delilah,11,mihj8m,71,38397,2,0,0,100,True,1
260344.919610906,39,y17ei155krfj,Delilah,11,mihj8m,26,11984,2,0,0,100,True,0
260349.346901863,39,y17ei155krfj,Delilah,11,mihj8m,84,54306,1,0,0,612,True,2
260349.354660367,39,y17ei155krfj,Delilah,11,mihj8m,56,32461,1,0,0,612,True,1
260349.362132853,39,y17ei155krfj,Delilah,11,mihj8m,11,14075,2,0,0,100,True,0
260354.620164697,39,y17ei155krfj,Delilah,11,mihj8m,97,39931,2,0,0,100,True,0
260357.145127166,39,y17ei155krfj,Delilah,12,mihj8m,95,15017,2,0,0,100,True,0
260362.250521239,39,y17ei155krfj,Delilah,12,mihj8m,82,42959,2,0,0,100,True,0
260370.681055241,39,y17ei155krfj,Delilah,13,mihj8m,64,57565,1,0,0,612,True,0
260373.441536684,39,y17ei155krfj,Delilah,13,mihj8m,87,16792,2,0,0,100,True,0
260375.162941881,39,y17ei155krfj,Delilah,13,mihj8m,93,44697,2,0,0,100,True,0
260377.876133338,39,y17ei155krfj,Delilah,13,mihj8m,51,35421,2,0,0,100,True,0
260381.491920996,39,y17ei155krfj,Delilah,14,mihj8m,92,51152,1,0,0,612,True,1
260381.4995789,39,y17ei155krfj,Delilah,14,mihj8m,73,41010,1,0,0,612,True,0
260389.50820066,39,y17ei155krfj,Delilah,15,mihj8m,71,60616,2,0,0,100,True,2
260389.516186189,39,y17ei155krfj,Delilah,15,mihj8m,70,27667,2,0,0,100,True,1
260389.523972862,39,y17ei155krfj,Delilah,15,mihj8m,73,15068,2,0,0,100,True,0
260392.821476328,39,y17ei155krfj,Delilah,15,mihj8m,44,9997,1,0,0,612,True,1
260392.829333219,39,y17ei155krfj,Delilah,15,mihj8m,43,48879,1,0,0,612,True,0
260395.260132875,39,y17ei155krfj,Delilah,15,mihj8m,23,46260,1,0,0,612,True,0
260398.288472917,39,y17ei155krfj,Delilah,15,mihj8m,93,39807,2,0,0,100,True,1
260398.296425901,39,y17ei155krfj,Delilah,15,mihj8m,26,16444,2,0,0,100,True,0
260402.698597172,39,y17ei155krfj,Delilah,16,mihj8m,1,62666,1,0,0,612,True,3
260402.70631628,39,y17ei155krfj,Delilah,16,mihj8m,44,53751,1,0,0,612,True,2
260402.715577903,39,y17ei155krfj,Delilah,16,mihj8m,11,26030,1,0,0,612,True,1
260402.727193938,39,y17ei155krfj,Delilah,16,mihj8m,1,41729,1,0,0,612,True,0
260404.679344524,39,y17ei155krfj,Delilah,16,mihj8m,44,60544,1,0,0,612,True,1
260404.687200266,39,y17ei155krfj,Delilah,16,mihj8m,84,28305,1,0,0,612,True,0
260408.420967977,39,y17ei155krfj,Delilah,16,mihj8m,92,21451,2,0,0,100,True,3
260408.428688936,39,y17ei155krfj,Delilah,16,mihj8m,73,41010,2,0,0,100,True,2
260408.436369144,39,y17ei155krfj,Delilah,16,mihj8m,49,3412,2,0,0,100,True,1
260408.443995496,39,y17ei155krfj,Delilah,16,mihj8m,43,48879,2,0,0,100,True,0
260409.869073987,39,y17ei155krfj,Delilah,16,mihj8m,42,19858,2,0,0,100,True,3
260409.876988445,39,y17ei155krfj,Delilah,16,mihj8m,44,13361,2,0,0,100,True,2
260409.884956308,39,y17ei155krfj,Delilah,16,mihj8m,1,20282,2,0,0,100,True,1
260409.893057676,39,y17ei155krfj,Delilah,16,mihj8m,23,55667,2,0,0,100,True,0
260412.464877619,39,y17ei155krfj,Delilah,17,mihj8m,23,39848,1,0,0,612,True,0
260414.591603799,39,y17ei155krfj,Delilah,17,mihj8m,84,59194,1,0,0,612,True,3
260414.59929423,39,y17ei155krfj,Delilah,17,mihj8m,84,7879,1,0,0,612,True,2
260414.606736308,39,y17ei155krfj,Delilah,17,mihj8m,23,7389,1,0,0,612,True,1
260414.614155378,39,y17ei155krfj,Delilah,17,mihj8m,84,4220,1,0,0,612,True,0
260416.603746081,39,y17ei155krfj,Delilah,17,mihj8m,23,40089,1,0,0,612,True,0
260418.238990705,39,y17ei155krfj,Delilah,17,mihj8m,1,41729,2,0,0,100,True,0
260419.71425884,39,y17ei155krfj,Delilah,17,mihj8m,23,62416,2,0,0,100,True,1
260419.721643907,39,y17ei155krfj,Delilah,17,mihj8m,84,28305,2,0,0,100,True,0
260421.553994475,39,y17ei155krfj,Delilah,17,mihj8m,23,16569,2,0,0,100,True,1
260421.561906893,39,y17ei155krfj,Delilah,17,mihj8m,23,25842,2,0,0,100,True,0
260422.889925479,39,y17ei155krfj,Delilah,18,mihj8m,23,46585,2,0,0,100,True,0
260424.335441347,39,y17ei155krfj,Delilah,18,mihj8m,23,46930,1,0,0,612,True,0
260427.268576083,39,y17ei155krfj,Delilah,18,mihj8m,23,24114,1,0,0,612,True,0
260428.938640101,39,y17ei155krfj,Delilah,18,mihj8m,23,39848,2,0,0,100,True,0
260430.953846103,39,y17ei155krfj,Delilah,18,mihj8m,1,34303,2,0,0,100,True,3
260430.961934729,39,y17ei155krfj,Delilah,18,mihj8m,84,59900,2,0,0,100,True,2
260430.969757843,39,y17ei155krfj,Delilah,18,mihj8m,84,59194,2,0,0,100,True,1
260430.977712258,39,y17ei155krfj,Delilah,18,mihj8m,84,7879,2,0,0,100,True,0
260434.056240891,39,y17ei155krfj,Delilah,19,mihj8m,23,19003,2,0,0,100,True,0
260435.567784968,39,y17ei155krfj,Delilah,19,mihj8m,23,61068,1,0,0,612,True,0
260441.985648092,39,y17ei155krfj,Delilah,19,mihj8m,23,14447,2,0,0,100,True,5
260441.993382448,39,y17ei155krfj,Delilah,19,mihj8m,23,3025,2,0,0,100,True,4
260442.001260159,39,y17ei155krfj,Delilah,19,mihj8m,23,61432,2,0,0,100,True,3
260442.009011454,39,y17ei155krfj,Delilah,19,mihj8m,23,46930,2,0,0,100,True,2
260442.016711103,39,y17ei155krfj,Delilah,19,mihj8m,23,16153,2,0,0,100,True,1
260442.02457955,39,y17ei155krfj,Delilah,19,mihj8m,23,33727,2,0,0,100,True,0
260456.955743009,39,y17ei155krfj,Delilah,21,mihj8m,23,46354,1,0,0,612,True,0
