t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260217.855990468,39,ybek1o92rs46,Livia,0,5gsg1w,38,11262,1,612,0,0,True,0
260217.954065796,39,ybek1o92rs46,Livia,0,5gsg1w,12,36498,1,612,0,0,True,0
260218.044331264,39,ybek1o92rs46,Livia,0,5gsg1w,58,35648,1,612,0,0,True,0
260218.144843442,39,ybek1o92rs46,Livia,0,5gsg1w,55,8369,1,612,0,0,True,0
260218.23567089,39,ybek1o92rs46,Livia,0,5gsg1w,18,4857,1,612,0,0,True,0
260218.327294202,39,ybek1o92rs46,Livia,0,5gsg1w,39,30434,1,612,0,0,True,0
260218.428980238,39,ybek1o92rs46,Livia,0,5gsg1w,24,30142,1,612,0,0,True,0
260218.527552421,39,ybek1o92rs46,Livia,0,5gsg1w,70,59669,1,612,0,0,True,0
260218.61781253,39,ybek1o92rs46,Livia,0,5gsg1w,20,28967,1,612,0,0,True,0
260218.730426759,39,ybek1o92rs46,Livia,0,5gsg1w,1,35828,1,612,0,0,True,0
260218.823139682,39,ybek1o92rs46,Livia,0,5gsg1w,85,18880,1,612,0,0,True,0
260218.930430767,39,ybek1o92rs46,Livia,0,5gsg1w,53,10464,1,612,0,0,True,0
260219.045092926,39,ybek1o92rs46,Livia,0,5gsg1w,96,43922,1,612,0,0,True,0
260219.13683895,39,ybek1o92rs46,Livia,0,5gsg1w,97,15742,1,612,0,0,True,0
260219.23543005,39,ybek1o92rs46,Livia,0,5gsg1w,77,27121,1,612,0,0,True,0
260219.337296973,39,ybek1o92rs46,Livia,0,5gsg1w,72,50399,1,612,0,0,True,0
260219.437350422,39,ybek1o92rs46,Livia,0,5gsg1w,84,57828,1,612,0,0,True,0
260219.528215374,39,ybek1o92rs46,Livia,0,5gsg1w,98,18419,1,612,0,0,True,0
260219.644526044,39,ybek1o92rs46,Livia,0,5gsg1w,63,52847,1,612,0,0,True,0
260219.734112011,39,ybek1o92rs46,Livia,0,5gsg1w,88,10564,1,612,0,0,True,0
260219.827596661,39,ybek1o92rs46,Livia,0,5gsg1w,19,11179,1,612,0,0,True,0
260219.937149838,39,ybek1o92rs46,Livia,0,5gsg1w,33,53840,1,612,0,0,True,0
260220.036554523,39,ybek1o92rs46,Livia,0,5gsg1w,73,37143,1,612,0,0,True,0
260220.130575248,39,ybek1o92rs46,Livia,0,5gsg1w,42,20554,1,612,0,0,True,0
260220.231692076,39,ybek1o92rs46,Livia,0,5gsg1w,52,7807,1,612,0,0,True,0
260220.330562819,39,ybek1o92rs46,Livia,0,5gsg1w,61,42104,1,612,0,0,True,0
