t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260241.95729849,39,yh5fqn4e1f5u,Livia,2,2zqx27,5,57554,1,0,0,612,True,1
260241.964458364,39,yh5fqn4e1f5u,Livia,2,2zqx27,45,52908,1,0,0,612,True,0
260254.622909975,39,yh5fqn4e1f5u,Livia,3,2zqx27,30,34912,1,0,0,612,True,0
260255.744639545,39,yh5fqn4e1f5u,Livia,3,2zqx27,10,31136,2,0,0,100,True,0
260259.507580863,39,yh5fqn4e1f5u,Livia,3,2zqx27,28,615,2,0,0,100,True,0
260270.541324821,39,yh5fqn4e1f5u,Livia,4,2zqx27,15,44286,1,0,0,612,True,2
260270.548887877,39,yh5fqn4e1f5u,Livia,4,2zqx27,89,47677,1,0,0,612,True,1
260270.570616337,39,yh5fqn4e1f5u,Livia,4,2zqx27,90,56468,1,0,0,612,True,0
260277.932327037,39,yh5fqn4e1f5u,Livia,5,2zqx27,99,43488,2,0,0,100,True,4
260277.940342957,39,yh5fqn4e1f5u,Livia,5,2zqx27,43,48276,1,0,0,612,True,3
260277.948697203,39,yh5fqn4e1f5u,Livia,5,2zqx27,96,2759,1,0,0,612,True,2
260277.956541247,39,yh5fqn4e1f5u,Livia,5,2zqx27,82,47068,1,0,0,612,True,1
260277.963958609,39,yh5fqn4e1f5u,Livia,5,2zqx27,6,30080,1,0,0,612,True,0
260284.607752032,39,yh5fqn4e1f5u,Livia,5,2zqx27,80,61679,2,0,0,100,True,1
260284.616366816,39,yh5fqn4e1f5u,Livia,5,2zqx27,44,22137,2,0,0,100,True,0
260291.917249588,39,yh5fqn4e1f5u,Livia,6,2zqx27,7,16183,1,0,0,612,True,3
260291.925305716,39,yh5fqn4e1f5u,Livia,6,2zqx27,85,15363,1,0,0,612,True,2
260291.93338367,39,yh5fqn4e1f5u,Livia,6,2zqx27,14,25670,1,0,0,612,True,1
260291.941156566,39,yh5fqn4e1f5u,Livia,6,2zqx27,32,13479,1,0,0,612,True,0
260313.284386947,39,yh5fqn4e1f5u,Livia,8,2zqx27,69,8138,2,0,0,100,True,3
260313.291541717,39,yh5fqn4e1f5u,Livia,8,2zqx27,35,12127,2,0,0,100,True,2
260313.298814354,39,yh5fqn4e1f5u,Livia,8,2zqx27,90,56468,2,0,0,100,True,1
260313.306233156,39,yh5fqn4e1f5u,Livia,8,2zqx27,65,10998,2,0,0,100,True,0
260322.729612687,39,yh5fqn4e1f5u,Livia,8,2zqx27,15,44286,2,0,0,100,True,1
260322.737125982,39,yh5fqn4e1f5u,Livia,8,2zqx27,96,2759,2,0,0,100,True,0
260327.910706357,39,yh5fqn4e1f5u,Livia,9,2zqx27,97,1427,1,0,0,612,True,1
260327.918059972,39,yh5fqn4e1f5u,Livia,9,2zqx27,12,43384,1,0,0,612,True,0
260332.568422839,39,yh5fqn4e1f5u,Livia,9,2zqx27,92,9370,2,0,0,100,True,3
260332.57610996,39,yh5fqn4e1f5u,Livia,9,2zqx27,56,17674,2,0,0,100,True,2
260332.583945377,39,yh5fqn4e1f5u,Livia,9,2zqx27,84,30770,2,0,0,100,True,1
260332.591561029,39,yh5fqn4e1f5u,Livia,9,2zqx27,37,31762,2,0,0,100,True,0
260335.51862528,39,yh5fqn4e1f5u,Livia,9,2zqx27,22,42986,2,0,0,100,True,0
260345.423346345,39,yh5fqn4e1f5u,Livia,10,2zqx27,18,27768,2,0,0,100,True,2
260345.430772751,39,yh5fqn4e1f5u,Livia,10,2zqx27,39,29951,2,0,0,100,True,1
260345.43830634,39,yh5fqn4e1f5u,Livia,10,2zqx27,12,43384,2,0,0,100,True,0
260350.30786944,39,yh5fqn4e1f5u,Livia,11,2zqx27,99,64576,1,0,0,612,True,0
260357.528673684,39,yh5fqn4e1f5u,Livia,11,2zqx27,60,57643,2,0,0,100,True,1
260357.536103549,39,yh5fqn4e1f5u,Livia,11,2zqx27,29,58703,2,0,0,100,True,0
