t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260231.004185702,39,yw44yf6ua4cg,Britany,1,rqd2i7,87,55618,1,0,0,612,True,1
260231.012331754,39,yw44yf6ua4cg,Britany,1,rqd2i7,79,63095,1,0,0,612,True,0
260231.567875411,39,yw44yf6ua4cg,Britany,1,rqd2i7,40,35458,1,0,0,612,True,1
260231.576319355,39,yw44yf6ua4cg,Britany,1,rqd2i7,61,54990,1,0,0,612,True,0
260232.639027251,39,yw44yf6ua4cg,Britany,1,rqd2i7,94,55043,1,0,0,612,True,1
260232.647863492,39,yw44yf6ua4cg,Britany,1,rqd2i7,37,55711,1,0,0,612,True,0
260236.682151554,39,yw44yf6ua4cg,Britany,2,rqd2i7,16,27237,1,0,0,612,True,2
260236.689368651,39,yw44yf6ua4cg,Britany,2,rqd2i7,75,53959,1,0,0,612,True,1
260236.696667847,39,yw44yf6ua4cg,Britany,2,rqd2i7,5,24453,1,0,0,612,True,0
260241.384186613,39,yw44yf6ua4cg,Britany,2,rqd2i7,54,12993,1,0,0,612,True,5
260241.391783798,39,yw44yf6ua4cg,Britany,2,rqd2i7,36,19977,1,0,0,612,True,4
260241.399093191,39,yw44yf6ua4cg,Britany,2,rqd2i7,3,30759,1,0,0,612,True,3
260241.406238981,39,yw44yf6ua4cg,Britany,2,rqd2i7,11,54110,1,0,0,612,True,2
260241.413694668,39,yw44yf6ua4cg,Britany,2,rqd2i7,63,55372,1,0,0,612,True,1
260241.421085811,39,yw44yf6ua4cg,Britany,2,rqd2i7,6,2821,1,0,0,612,True,0
260295.739216812,39,yw44yf6ua4cg,Britany,7,rqd2i7,92,32007,1,0,0,612,True,0
260303.069825801,39,yw44yf6ua4cg,Britany,7,rqd2i7,78,49389,2,0,0,100,True,1
260303.077192001,39,yw44yf6ua4cg,Britany,7,rqd2i7,18,56625,2,0,0,100,True,0
260310.86096086,39,yw44yf6ua4cg,Britany,8,rqd2i7,35,6615,1,0,0,612,True,0
260314.085254603,39,yw44yf6ua4cg,Britany,8,rqd2i7,76,25472,2,0,0,100,True,1
260314.093334805,39,yw44yf6ua4cg,Britany,8,rqd2i7,0,12223,1,0,0,612,True,0
260315.323441722,39,yw44yf6ua4cg,Britany,8,rqd2i7,67,23997,2,0,0,100,True,3
260315.330932372,39,yw44yf6ua4cg,Britany,8,rqd2i7,89,44084,2,0,0,100,True,2
260315.338250953,39,yw44yf6ua4cg,Britany,8,rqd2i7,77,9831,2,0,0,100,True,1
260315.345530458,39,yw44yf6ua4cg,Britany,8,rqd2i7,10,12878,2,0,0,100,True,0
260321.744607575,39,yw44yf6ua4cg,Britany,8,q84cv2,6,40299,1,0,612,0,True,12
260321.751880911,39,yw44yf6ua4cg,Britany,8,q84cv2,6,40299,2,100,0,0,True,12
260321.759078474,39,yw44yf6ua4cg,Britany,8,q84cv2,47,51726,1,0,612,0,True,11
260321.766437217,39,yw44yf6ua4cg,Britany,8,q84cv2,47,51726,2,100,0,0,True,11
260321.773747456,39,yw44yf6ua4cg,Britany,8,q84cv2,29,57102,1,0,612,0,True,10
260321.78184194,39,yw44yf6ua4cg,Britany,8,q84cv2,29,57102,2,100,0,0,True,10
260321.789059729,39,yw44yf6ua4cg,Britany,8,q84cv2,62,10014,1,0,612,0,True,9
260321.801686355,39,yw44yf6ua4cg,Britany,8,q84cv2,62,10014,2,100,0,0,True,9
260321.813906795,39,yw44yf6ua4cg,Britany,8,q84cv2,42,43599,1,0,612,0,True,8
260321.822155261,39,yw44yf6ua4cg,Britany,8,q84cv2,42,43599,2,100,0,0,True,8
260321.83010382,39,yw44yf6ua4cg,Britany,8,q84cv2,17,31005,1,0,612,0,True,7
260321.838090033,39,yw44yf6ua4cg,Britany,8,q84cv2,17,31005,2,100,0,0,True,7
260321.845697092,39,yw44yf6ua4cg,Britany,8,q84cv2,87,14311,1,0,612,0,True,6
260321.853349232,39,yw44yf6ua4cg,Britany,8,q84cv2,87,14311,2,100,0,0,True,6
260321.860882575,39,yw44yf6ua4cg,Britany,8,q84cv2,79,60531,1,0,612,0,True,5
260321.868551407,39,yw44yf6ua4cg,Britany,8,q84cv2,79,60531,2,100,0,0,True,5
260321.876118394,39,yw44yf6ua4cg,Britany,8,q84cv2,15,36602,1,0,612,0,True,4
260321.883919116,39,yw44yf6ua4cg,Britany,8,q84cv2,15,36602,2,100,0,0,True,4
260321.891655928,39,yw44yf6ua4cg,Britany,8,q84cv2,12,6828,1,0,612,0,True,3
260321.899504293,39,yw44yf6ua4cg,Britany,8,q84cv2,12,6828,2,100,0,0,True,3
260321.907266632,39,yw44yf6ua4cg,Britany,8,q84cv2,82,9386,1,0,612,0,True,2
260321.915049043,39,yw44yf6ua4cg,Britany,8,q84cv2,82,9386,2,100,0,0,True,2
260321.922739895,39,yw44yf6ua4cg,Britany,8,rqd2i7,7,32977,2,0,0,100,True,1
260321.930264187,39,yw44yf6ua4cg,Britany,8,rqd2i7,25,61068,2,0,0,100,True,0
260327.249962727,39,yw44yf6ua4cg,Britany,9,q84cv2,60,52800,1,0,612,0,True,2
260327.258590511,39,yw44yf6ua4cg,Britany,9,q84cv2,60,52800,2,100,0,0,True,2
260327.266137733,39,yw44yf6ua4cg,Britany,9,rqd2i7,99,1889,1,0,0,612,True,1
260327.274071506,39,yw44yf6ua4cg,Britany,9,rqd2i7,47,41972,1,0,0,612,True,0
260335.006069675,39,yw44yf6ua4cg,Britany,10,q84cv2,65,13828,1,0,612,0,True,0
260335.013554343,39,yw44yf6ua4cg,Britany,10,q84cv2,65,13828,2,100,0,0,True,0
260338.474503875,39,yw44yf6ua4cg,Britany,10,q84cv2,0,64421,1,0,612,0,True,4
260338.483351058,39,yw44yf6ua4cg,Britany,10,q84cv2,0,64421,2,100,0,0,True,4
260338.491193821,39,yw44yf6ua4cg,Britany,10,q84cv2,49,20312,1,0,612,0,True,3
260338.499001463,39,yw44yf6ua4cg,Britany,10,q84cv2,49,20312,2,100,0,0,True,3
260338.506373811,39,yw44yf6ua4cg,Britany,10,q84cv2,8,30664,1,0,612,0,True,2
260338.513626461,39,yw44yf6ua4cg,Britany,10,q84cv2,8,30664,2,100,0,0,True,2
260338.521774461,39,yw44yf6ua4cg,Britany,10,rqd2i7,91,50778,1,0,0,612,True,1
260338.529216406,39,yw44yf6ua4cg,Britany,10,rqd2i7,56,59699,1,0,0,612,True,0
260340.407635006,39,yw44yf6ua4cg,Britany,10,rqd2i7,41,46002,2,0,0,100,True,0
260345.113403534,39,yw44yf6ua4cg,Britany,11,rqd2i7,64,35400,2,0,0,100,True,0
260346.594611217,39,yw44yf6ua4cg,Britany,11,rqd2i7,45,34659,1,0,0,612,True,0
260349.936698202,39,yw44yf6ua4cg,Britany,11,q84cv2,45,45811,1,0,612,0,True,2
260349.944654671,39,yw44yf6ua4cg,Britany,11,q84cv2,45,45811,2,100,0,0,True,2
260349.952977901,39,yw44yf6ua4cg,Britany,11,rqd2i7,46,39075,2,0,0,100,True,1
260349.961090073,39,yw44yf6ua4cg,Britany,11,rqd2i7,52,58693,2,0,0,100,True,0
260352.275002131,39,yw44yf6ua4cg,Britany,11,q84cv2,89,57063,1,0,612,0,True,2
260352.282946054,39,yw44yf6ua4cg,Britany,11,q84cv2,89,57063,2,100,0,0,True,2
260352.290645856,39,yw44yf6ua4cg,Britany,11,q84cv2,93,11605,1,0,612,0,True,1
260352.299181896,39,yw44yf6ua4cg,Britany,11,q84cv2,93,11605,2,100,0,0,True,1
260352.306892533,39,yw44yf6ua4cg,Britany,11,rqd2i7,50,12063,1,0,0,612,True,0
260354.771172547,39,yw44yf6ua4cg,Britany,11,rqd2i7,98,40735,1,0,0,612,True,0
260357.381822078,39,yw44yf6ua4cg,Britany,12,rqd2i7,68,29356,2,0,0,100,True,2
260357.389149199,39,yw44yf6ua4cg,Britany,12,rqd2i7,2,36121,2,0,0,100,True,1
260357.396614707,39,yw44yf6ua4cg,Britany,12,rqd2i7,55,56990,2,0,0,100,True,0
260360.605860025,39,yw44yf6ua4cg,Britany,12,q84cv2,39,29411,1,0,612,0,True,2
260360.613758667,39,yw44yf6ua4cg,Britany,12,q84cv2,39,29411,2,100,0,0,True,2
260360.621573959,39,yw44yf6ua4cg,Britany,12,rqd2i7,35,42337,1,0,0,612,True,1
260360.629350448,39,yw44yf6ua4cg,Britany,12,rqd2i7,71,621,1,0,0,612,True,0
260362.376190545,39,yw44yf6ua4cg,Britany,12,rqd2i7,64,40696,1,0,0,612,True,1
260362.402102943,39,yw44yf6ua4cg,Britany,12,rqd2i7,58,54199,1,0,0,612,True,0
260377.679551971,39,yw44yf6ua4cg,Britany,14,rqd2i7,44,26954,2,0,0,100,True,2
260377.687352085,39,yw44yf6ua4cg,Britany,14,rqd2i7,54,34211,1,0,0,612,True,1
260377.695066672,39,yw44yf6ua4cg,Britany,14,q84cv2,86,35719,1,0,612,0,True,0
260377.702862575,39,yw44yf6ua4cg,Britany,14,q84cv2,86,35719,2,100,0,0,True,0
260379.654011704,39,yw44yf6ua4cg,Britany,14,rqd2i7,51,46249,2,0,0,100,True,0
260382.678116245,39,yw44yf6ua4cg,Britany,14,rqd2i7,38,40734,2,0,0,100,True,0
260384.197373444,39,yw44yf6ua4cg,Britany,14,rqd2i7,97,19225,2,0,0,100,True,0
260394.051717463,39,yw44yf6ua4cg,Britany,15,q84cv2,73,15350,1,0,612,0,True,3
260394.059258742,39,yw44yf6ua4cg,Britany,15,q84cv2,73,15350,2,100,0,0,True,3
260394.066799326,39,yw44yf6ua4cg,Britany,15,rqd2i7,58,42060,1,0,0,612,True,2
260394.074277022,39,yw44yf6ua4cg,Britany,15,q84cv2,71,60960,1,0,612,0,True,1
260394.082250252,39,yw44yf6ua4cg,Britany,15,q84cv2,71,60960,2,100,0,0,True,1
260394.094491529,39,yw44yf6ua4cg,Britany,15,rqd2i7,22,54020,1,0,0,612,True,0
260395.89947723,39,yw44yf6ua4cg,Britany,15,q84cv2,32,35891,1,0,612,0,True,1
260395.908129107,39,yw44yf6ua4cg,Britany,15,q84cv2,32,35891,2,100,0,0,True,1
260395.916081495,39,yw44yf6ua4cg,Britany,15,rqd2i7,22,8099,1,0,0,612,True,0
260397.44602759,39,yw44yf6ua4cg,Britany,15,rqd2i7,27,28293,1,0,0,612,True,0
260398.654151117,39,yw44yf6ua4cg,Britany,15,rqd2i7,64,40696,2,0,0,100,True,0
260410.913078963,39,yw44yf6ua4cg,Britany,17,q84cv2,23,23866,1,0,612,0,True,2
260410.923813998,39,yw44yf6ua4cg,Britany,17,q84cv2,23,23866,2,100,0,0,True,2
260410.931613864,39,yw44yf6ua4cg,Britany,17,rqd2i7,60,19221,1,0,0,612,True,1
260410.939490967,39,yw44yf6ua4cg,Britany,17,rqd2i7,58,44394,1,0,0,612,True,0
260416.101718997,39,yw44yf6ua4cg,Britany,17,rqd2i7,85,19337,2,0,0,100,True,1
260416.109640319,39,yw44yf6ua4cg,Britany,17,rqd2i7,84,31580,2,0,0,100,True,0
260418.820300001,39,yw44yf6ua4cg,Britany,17,rqd2i7,58,18700,1,0,0,612,True,0
260420.360675968,39,yw44yf6ua4cg,Britany,17,rqd2i7,27,55320,2,0,0,100,True,0
260423.40379908,39,yw44yf6ua4cg,Britany,18,q84cv2,18,18403,1,0,612,0,True,0
