t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260231.204706184,39,z6yk4vdbdq7x,Bennie,1,2zqx27,57,4988,1,0,0,612,True,1
260231.212992996,39,z6yk4vdbdq7x,Bennie,1,2zqx27,31,5007,1,0,0,612,True,0
260231.900120196,39,z6yk4vdbdq7x,Bennie,1,2zqx27,69,8138,1,0,0,612,True,1
260231.907326975,39,z6yk4vdbdq7x,Bennie,1,2zqx27,66,56895,1,0,0,612,True,0
260233.102962303,39,z6yk4vdbdq7x,Bennie,1,2zqx27,34,149,1,0,0,612,True,1
260233.111516739,39,z6yk4vdbdq7x,Bennie,1,2zqx27,78,49974,1,0,0,612,True,0
260235.036113788,39,z6yk4vdbdq7x,Bennie,1,2zqx27,45,52908,1,0,0,612,True,0
260237.599094101,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,87,55618,1,0,0,612,True,4
260237.606446597,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,79,63095,1,0,0,612,True,3
260237.616767179,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,34,49304,1,0,0,612,True,2
260237.624477104,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,83,60178,1,0,0,612,True,1
260237.632255922,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,69,10139,1,0,0,612,True,0
260238.468936981,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,39,38872,1,0,0,612,True,6
260238.475983257,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,29,38367,1,0,0,612,True,5
260238.483596954,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,0,52114,1,0,0,612,True,4
260238.490883029,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,1,33674,1,0,0,612,True,3
260238.498304308,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,40,35458,1,0,0,612,True,2
260238.505632673,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,61,54990,1,0,0,612,True,1
260238.513088169,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,70,47263,1,0,0,612,True,0
260240.483033256,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,94,55043,1,0,0,612,True,2
260240.490663794,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,82,36850,1,0,0,612,True,1
260240.505580558,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,19,64746,1,0,0,612,True,0
260241.622274454,39,z6yk4vdbdq7x,Bennie,2,2zqx27,19,45952,1,0,0,612,True,3
260241.629995135,39,z6yk4vdbdq7x,Bennie,2,2zqx27,20,64015,1,0,0,612,True,2
260241.637731124,39,z6yk4vdbdq7x,Bennie,2,2zqx27,0,41458,1,0,0,612,True,1
260241.645349213,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,30,19618,1,0,0,612,True,0
260242.577788643,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,5,24453,1,0,0,612,True,1
260242.585167596,39,z6yk4vdbdq7x,Bennie,2,rqd2i7,18,56625,1,0,0,612,True,0
260247.301960357,39,z6yk4vdbdq7x,Bennie,2,sch4ov,43,22528,1,0,612,0,True,0
260247.311546455,39,z6yk4vdbdq7x,Bennie,2,sch4ov,43,22528,2,100,0,0,True,0
260252.501202982,39,z6yk4vdbdq7x,Bennie,3,sch4ov,68,1234,1,0,612,0,True,9
260252.509634809,39,z6yk4vdbdq7x,Bennie,3,sch4ov,68,1234,2,100,0,0,True,9
260252.517185807,39,z6yk4vdbdq7x,Bennie,3,rqd2i7,83,60178,2,0,0,100,True,8
260252.525489872,39,z6yk4vdbdq7x,Bennie,3,rqd2i7,3,30759,1,0,0,612,True,7
260252.532714661,39,z6yk4vdbdq7x,Bennie,3,rqd2i7,6,2821,1,0,0,612,True,6
260252.539946506,39,z6yk4vdbdq7x,Bennie,3,2zqx27,73,11292,1,0,0,612,True,5
260252.556454101,39,z6yk4vdbdq7x,Bennie,3,sch4ov,57,21846,1,0,612,0,True,4
260252.567048452,39,z6yk4vdbdq7x,Bennie,3,sch4ov,57,21846,2,100,0,0,True,4
260252.575255428,39,z6yk4vdbdq7x,Bennie,3,sch4ov,96,42834,1,0,612,0,True,3
260252.582943223,39,z6yk4vdbdq7x,Bennie,3,sch4ov,96,42834,2,100,0,0,True,3
