t,experiment_id,user,current_round
260214.150564781,39,Broderick,0
260225.148717703,39,Broderick,1
260236.363682696,39,Broderick,2
260250.138898915,39,Broderick,3
260266.285975336,39,Broderick,4
260280.086170441,39,Broderick,5
260294.395755451,39,Broderick,6
260307.287814829,39,Broderick,7
260318.201735339,39,Broderick,8
260329.837696934,39,Broderick,9
260341.450754309,39,Broderick,10
260353.215146336,39,Broderick,11
260363.59367011,39,Broderick,12
260374.709324645,39,Broderick,13
260385.610041822,39,Broderick,14
260396.707126397,39,Broderick,15
260407.984759439,39,Broderick,16
260419.198709178,39,Broderick,17
260430.079741173,39,Broderick,18
260441.484600294,39,Broderick,19
260452.14956258,39,Broderick,20
260462.724456094,39,Broderick,21
260472.948622916,39,Broderick,22
260483.087600355,39,Broderick,23
260493.25694676,39,Broderick,24
