t,experiment_id,user,current_round
260212.381338132,39,Consuelo,0
260223.021430809,39,Consuelo,1
260233.987542074,39,Consuelo,2
260245.564416041,39,Consuelo,3
260256.747524038,39,Consuelo,4
260272.568439247,39,Consuelo,5
260283.419665034,39,Consuelo,6
260295.523737508,39,Consuelo,7
260308.008133562,39,Consuelo,8
260323.016782122,39,Consuelo,9
260333.502553952,39,Consuelo,10
260344.093447746,39,Consuelo,11
260355.913039145,39,Consuelo,12
260367.561807871,39,Consuelo,13
260378.484549782,39,Consuelo,14
260388.873049133,39,Consuelo,15
260399.408377055,39,Consuelo,16
260410.57657678,39,Consuelo,17
260421.905209781,39,Consuelo,18
260432.88357706,39,Consuelo,19
260443.453602903,39,Consuelo,20
260455.177767794,39,Consuelo,21
260465.467954754,39,Consuelo,22
260475.606133126,39,Consuelo,23
260485.630664182,39,Consuelo,24
