t,experiment_id,user,current_round
260212.464975826,39,Delilah,0
260223.117033247,39,Delilah,1
260234.061650651,39,Delilah,2
260245.658532801,39,Delilah,3
260256.867395285,39,Delilah,4
260272.744859087,39,Delilah,5
260283.552889072,39,Delilah,6
260295.667543133,39,Delilah,7
260308.090791596,39,Delilah,8
260323.123145163,39,Delilah,9
260333.596256359,39,Delilah,10
260344.199856496,39,Delilah,11
260356.009938116,39,Delilah,12
260367.650585064,39,Delilah,13
260378.561994566,39,Delilah,14
260389.000785831,39,Delilah,15
260399.494223041,39,Delilah,16
260410.667941367,39,Delilah,17
260422.036308777,39,Delilah,18
260433.0795385,39,Delilah,19
260445.509287182,39,Delilah,20
260456.21066622,39,Delilah,21
260466.419989258,39,Delilah,22
260476.54983729,39,Delilah,23
260487.000075793,39,Delilah,24
