t,experiment_id,user,current_round
260214.17334007,39,Gilbert,0
260225.165233615,39,Gilbert,1
260236.395174881,39,Gilbert,2
260250.160204027,39,Gilbert,3
260266.303867277,39,Gilbert,4
260280.102086059,39,Gilbert,5
260294.424610645,39,Gilbert,6
260307.305243115,39,Gilbert,7
260318.219242887,39,Gilbert,8
260329.851511764,39,Gilbert,9
260341.463811988,39,Gilbert,10
260353.229008386,39,Gilbert,11
260363.607103469,39,Gilbert,12
260374.726550418,39,Gilbert,13
260385.630806308,39,Gilbert,14
260396.716241428,39,Gilbert,15
260408.001014633,39,Gilbert,16
260419.211882759,39,Gilbert,17
260430.11935235,39,Gilbert,18
260441.509697498,39,Gilbert,19
260452.166718602,39,Gilbert,20
260462.749324193,39,Gilbert,21
260472.961228933,39,Gilbert,22
260483.09664384,39,Gilbert,23
260493.266799661,39,Gilbert,24
