t,experiment_id,user,current_round
260212.102584727,39,Hassie,0
260222.484523876,39,Hassie,1
260233.706495546,39,Hassie,2
260245.303213798,39,Hassie,3
260256.496615558,39,Hassie,4
260272.102784199,39,Hassie,5
260283.131393308,39,Hassie,6
260295.213729772,39,Hassie,7
260307.729103496,39,Hassie,8
260318.729248775,39,Hassie,9
260330.373632182,39,Hassie,10
260342.040407286,39,Hassie,11
260353.738908672,39,Hassie,12
260366.166857931,39,Hassie,13
260377.317801194,39,Hassie,14
260387.575101871,39,Hassie,15
260398.064273366,39,Hassie,16
260409.526417832,39,Hassie,17
260420.794979382,39,Hassie,18
260432.585395684,39,Hassie,19
260443.200415389,39,Hassie,20
260453.674500515,39,Hassie,21
260464.234693136,39,Hassie,22
260474.677308217,39,Hassie,23
260484.900176162,39,Hassie,24
