t,experiment_id,user,current_round
260213.513922031,39,January,0
260224.254628035,39,January,1
260235.914446134,39,January,2
260249.71647295,39,January,3
260261.002167299,39,January,4
260274.362794636,39,January,5
260286.761751223,39,January,6
260299.604764565,39,January,7
260312.368934233,39,January,8
260324.244085567,39,January,9
260337.042289977,39,January,10
260348.04344974,39,January,11
260359.222054527,39,January,12
260372.79767406,39,January,13
260382.959677061,39,January,14
260394.728515213,39,January,15
260406.500237249,39,January,16
260417.857174228,39,January,17
260428.476589487,39,January,18
260440.170187259,39,January,19
260451.183210443,39,January,20
260461.575186531,39,January,21
260471.858156464,39,January,22
260481.928677116,39,January,23
260492.179867566,39,January,24
