t,experiment_id,user,current_round
260213.135205138,39,Julius,0
260223.909594122,39,Julius,1
260235.580507677,39,Julius,2
260249.299117969,39,Julius,3
260260.469823022,39,Julius,4
260273.959961601,39,Julius,5
260286.217048433,39,Julius,6
260299.266648514,39,Julius,7
260312.019981142,39,Julius,8
260323.825709655,39,Julius,9
260336.69463851,39,Julius,10
260347.676195858,39,Julius,11
260358.833344379,39,Julius,12
260369.468954485,39,Julius,13
260380.201329154,39,Julius,14
260391.069948123,39,Julius,15
260401.807555548,39,Julius,16
260413.729945081,39,Julius,17
260426.590096557,39,Julius,18
260438.142988911,39,Julius,19
260449.133479552,39,Julius,20
260459.75200977,39,Julius,21
260470.045124515,39,Julius,22
260480.3939574,39,Julius,23
260490.76536518,39,Julius,24
