t,experiment_id,user,current_round
260213.440587523,39,Lavette,0
260224.195997913,39,Lavette,1
260235.853317137,39,Lavette,2
260249.639799161,39,Lavette,3
260260.899306548,39,Lavette,4
260274.288395224,39,Lavette,5
260286.664889521,39,Lavette,6
260299.527881413,39,Lavette,7
260312.300113555,39,Lavette,8
260324.165199095,39,Lavette,9
260336.968676061,39,Lavette,10
260347.963644128,39,Lavette,11
260359.124854557,39,Lavette,12
260372.728929936,39,Lavette,13
260382.889518319,39,Lavette,14
260394.661079142,39,Lavette,15
260406.41982378,39,Lavette,16
260417.761032873,39,Lavette,17
260428.39575307,39,Lavette,18
260440.089974847,39,Lavette,19
260451.126158715,39,Lavette,20
260461.499675883,39,Lavette,21
260471.778307661,39,Lavette,22
260481.817518621,39,Lavette,23
260491.858931737,39,Lavette,24
