t,experiment_id,user,current_round
260212.538944164,39,Sandie,0
260223.196318475,39,Sandie,1
260234.18119149,39,Sandie,2
260245.753213728,39,Sandie,3
260256.9879571,39,Sandie,4
260272.912954665,39,Sandie,5
260285.619919928,39,Sandie,6
260298.704789917,39,Sandie,7
260311.488070318,39,Sandie,8
260323.25710225,39,Sandie,9
260333.702711918,39,Sandie,10
260344.269551401,39,Sandie,11
260356.099520205,39,Sandie,12
260367.744056468,39,Sandie,13
260378.658693948,39,Sandie,14
260390.477213176,39,Sandie,15
260400.582998102,39,Sandie,16
260411.664876742,39,Sandie,17
260422.146070175,39,Sandie,18
260433.300838239,39,Sandie,19
260445.605639853,39,Sandie,20
260456.334864125,39,Sandie,21
260466.503099404,39,Sandie,22
260476.638222277,39,Sandie,23
260487.103022652,39,Sandie,24
