t,experiment_id,user,current_round
260214.189680487,39,Sibyl,0
260225.177885533,39,Sibyl,1
260236.407992165,39,Sibyl,2
260250.176114433,39,Sibyl,3
260266.322905138,39,Sibyl,4
260280.122540162,39,Sibyl,5
260294.452615309,39,Sibyl,6
260307.319207528,39,Sibyl,7
260318.236626913,39,Sibyl,8
260329.86336495,39,Sibyl,9
260341.480668677,39,Sibyl,10
260353.239491427,39,Sibyl,11
260363.624359914,39,Sibyl,12
260374.739930979,39,Sibyl,13
260385.648319681,39,Sibyl,14
260396.726322642,39,Sibyl,15
260408.013992386,39,Sibyl,16
260419.240170846,39,Sibyl,17
260430.144648471,39,Sibyl,18
260441.529521198,39,Sibyl,19
260452.188344529,39,Sibyl,20
260462.76358786,39,Sibyl,21
260473.659179993,39,Sibyl,22
260484.016550371,39,Sibyl,23
260494.581602712,39,Sibyl,24
