t,experiment_id,user,current_round
260212.070299837,39,Vonnie,0
260222.45867161,39,Vonnie,1
260233.673300181,39,Vonnie,2
260245.269430345,39,Vonnie,3
260256.466347357,39,Vonnie,4
260272.072735143,39,Vonnie,5
260283.104364664,39,Vonnie,6
260295.178460088,39,Vonnie,7
260307.699292505,39,Vonnie,8
260318.696769015,39,Vonnie,9
260330.339230767,39,Vonnie,10
260341.974536864,39,Vonnie,11
260353.702139555,39,Vonnie,12
260366.132572779,39,Vonnie,13
260377.287819974,39,Vonnie,14
260387.552466514,39,Vonnie,15
260398.038306824,39,Vonnie,16
260409.495723841,39,Vonnie,17
260420.766682936,39,Vonnie,18
260432.554668143,39,Vonnie,19
260443.178562098,39,Vonnie,20
260453.648246602,39,Vonnie,21
260464.207446135,39,Vonnie,22
260474.655419434,39,Vonnie,23
260484.881988619,39,Vonnie,24
